"res_og_node_name","con_og_node_name"
"Haplophrentis carinatus","Louisella pedunculata"
"Scenella amii","Louisella pedunculata"
"Burgessochaeta setigera","Louisella pedunculata"
"Canadia spinosa","Louisella pedunculata"
"Peronochaeta dubia","Louisella pedunculata"
"Stephanoscolex argutus","Louisella pedunculata"
"Aluta? sp.","Louisella pedunculata"
"Ancalagon minor","Louisella pedunculata"
"Fieldia lanceolata","Louisella pedunculata"
"Selkirkia columbia","Louisella pedunculata"
"""Ottoia"" tenuis","Louisella pedunculata"
"Oesia disjuncta","Louisella pedunculata"
"Portalia mira","Louisella pedunculata"
"Haplophrentis carinatus","Ottoia prolifica"
"Scenella amii","Ottoia prolifica"
"Burgessochaeta setigera","Ottoia prolifica"
"Canadia spinosa","Ottoia prolifica"
"Peronochaeta dubia","Ottoia prolifica"
"Stephanoscolex argutus","Ottoia prolifica"
"Aluta? sp.","Ottoia prolifica"
"Ancalagon minor","Ottoia prolifica"
"Fieldia lanceolata","Ottoia prolifica"
"Selkirkia columbia","Ottoia prolifica"
"""Ottoia"" tenuis","Ottoia prolifica"
"Oesia disjuncta","Ottoia prolifica"
"Portalia mira","Ottoia prolifica"
"Haplophrentis carinatus","Selkirkia columbia"
"Scenella amii","Selkirkia columbia"
"Burgessochaeta setigera","Selkirkia columbia"
"Canadia spinosa","Selkirkia columbia"
"Peronochaeta dubia","Selkirkia columbia"
"Stephanoscolex argutus","Selkirkia columbia"
"Aluta? sp.","Selkirkia columbia"
"Ancalagon minor","Selkirkia columbia"
"Fieldia lanceolata","Selkirkia columbia"
"Selkirkia columbia","Selkirkia columbia"
"""Ottoia"" tenuis","Selkirkia columbia"
"Oesia disjuncta","Selkirkia columbia"
"Portalia mira","Selkirkia columbia"
"zooplankton","Eldonia ludwigi"
"zooplankton","Echmatocrinus brachiatus"
"zooplankton","Gogia radiata"
"zooplankton","Walcottidiscus magister"
"zooplankton","Walcottidiscus typicalis"
"zooplankton","Chaunograptus scandens"
"zooplankton","""Ottoia"" tenuis"
"zooplankton","Pikaia gracilens"
"phytoplankton","Chancelloria eros"
"zooplankton","Chancelloria eros"
"suspended organic matter","Dinomischus isolatus"
"zooplankton","Dinomischus isolatus"
"Haplophrentis carinatus","Nectocaris pteryx"
"Burgessochaeta setigera","Nectocaris pteryx"
"Canadia spinosa","Nectocaris pteryx"
"Peronochaeta dubia","Nectocaris pteryx"
"Stephanoscolex argutus","Nectocaris pteryx"
"Aluta? sp.","Nectocaris pteryx"
"Ancalagon minor","Nectocaris pteryx"
"Fieldia lanceolata","Nectocaris pteryx"
"Louisella pedunculata","Nectocaris pteryx"
"""Ottoia"" tenuis","Nectocaris pteryx"
"Oesia disjuncta","Nectocaris pteryx"
"Portalia mira","Nectocaris pteryx"
"zooplankton","Oesia disjuncta"
"zooplankton","Portalia mira"
