"res_sp","con_sp"
"Pseudocalanus","Mertensia ovum"
"Oithona similis","Mertensia ovum"
"Clione limacina","Mertensia ovum"
"Limacina helicina","Mertensia ovum"
"Mertensia ovum","Mertensia ovum"
"Beroe cucumis","Mertensia ovum"
"Calanus finnmarchicus","Beroe cucumis"
"Onacea borealis","Beroe cucumis"
"Bradyidius similis","Beroe cucumis"
"Microcalanus pusillus","Beroe cucumis"
"Copepoda nauplii","Beroe cucumis"
"Metridia longa","Beroe cucumis"
"Metridia lucens","Meganyctiphanes norvegica"
"POM","Boreomysis arctica"
"Phytodetritus","Boreomysis arctica"
"Sediment","Boreomysis arctica"
"POM","Balanus balanus"
"Phytodetritus","Balanus balanus"
"Sediment","Balanus balanus"
"POM","Semibalanus balanoides"
"Phytodetritus","Semibalanus balanoides"
"Sediment","Semibalanus balanoides"
"Fucus distichus","Littorina saxatilis"
"Pylaiella littoralis","Littorina saxatilis"
"Chordaria flagelliformis","Littorina saxatilis"
"Acrosiphonia","Littorina saxatilis"
"Alaria esculenta","Littorina saxatilis"
"Laminaria saccharina","Littorina saxatilis"
"Laminaria digitata","Littorina saxatilis"
"Saccorhiza dermatodea","Littorina saxatilis"
"Laminaria solidungula","Littorina saxatilis"
"Phycodrys rubens","Littorina saxatilis"
"Ptilta gunneri","Littorina saxatilis"
"Fimbrifolium dichotomum","Littorina saxatilis"
"Desmarestia aculeata","Littorina saxatilis"
"Palmaria palmata","Littorina saxatilis"
"Devaleraea ramentacea","Littorina saxatilis"
"Turnerella pennyi","Littorina saxatilis"
"Desmarestia viridis","Littorina saxatilis"
"Phytodetritus","Littorina saxatilis"
"Sediment","Littorina saxatilis"
"Phytodetritus","Ischyroceros"
"Sediment","Ischyroceros"
"Phytodetritus","Gammarus setosus"
"Sediment","Gammarus setosus"
"Phytodetritus","Gammarellus homari"
"Phytodetritus","Onisimus littoralis"
"Sediment","Onisimus littoralis"
"Phytodetritus","Anonyx nugax"
"Phytodetritus","Anonyx sarsi"
"Phytodetritus","Arrhis phyllonyx"
"Phytodetritus","Brachydiastylis resima"
"Sediment","Brachydiastylis resima"
"Phytodetritus","Caprella septentrionalis"
"Sediment","Caprella septentrionalis"
"Phytodetritus","Corophium crassicorne"
"Sediment","Corophium crassicorne"
"Phytodetritus","Diastylis goodsiri"
"Sediment","Diastylis goodsiri"
"Phytodetritus","Diastylis lucifera"
"Sediment","Diastylis lucifera"
"Phytodetritus","Diastylis rathkii"
"Sediment","Diastylis rathkii"
"Phytodetritus","Eryhtrops erythropthalma"
"Sediment","Eryhtrops erythropthalma"
"Balanus balanus","Eualus gaimardi"
"Semibalanus balanoides","Eualus gaimardi"
"Littorina saxatilis","Eualus gaimardi"
"Sediment","Eualus gaimardi"
"Calanus finnmarchicus","Gammarus setosus"
"Copepoda nauplii","Gammarus setosus"
"Pseudocalanus","Gammarus setosus"
"Oithona similis","Gammarus setosus"
"Fritillaria","Gammarus setosus"
"Limacina helicina","Gammarus setosus"
"Phytodetritus","Gammarus setosus"
"Phytodetritus","Halirages fulvocinctus"
"Sediment","Halirages fulvocinctus"
"Fucus distichus","Hyas araneus"
"Pylaiella littoralis","Hyas araneus"
"Chordaria flagelliformis","Hyas araneus"
"Acrosiphonia","Hyas araneus"
"Alaria esculenta","Hyas araneus"
"Laminaria saccharina","Hyas araneus"
"Laminaria digitata","Hyas araneus"
"Saccorhiza dermatodea","Hyas araneus"
"Laminaria solidungula","Hyas araneus"
"Phycodrys rubens","Hyas araneus"
"Ptilta gunneri","Hyas araneus"
"Fimbrifolium dichotomum","Hyas araneus"
"Desmarestia aculeata","Hyas araneus"
"Palmaria palmata","Hyas araneus"
"Devaleraea ramentacea","Hyas araneus"
"Turnerella pennyi","Hyas araneus"
"Desmarestia viridis","Hyas araneus"
"Balanus balanus","Hyas araneus"
"Semibalanus balanoides","Hyas araneus"
"Glycera capitata","Hyas araneus"
"Harmothoe imbricata","Hyas araneus"
"Heteromastus filiformis","Hyas araneus"
"Leitoscoloplos mammosus","Hyas araneus"
"Levinsenia gracilis","Hyas araneus"
"Lumbrineris","Hyas araneus"
"Lysippe labiata","Hyas araneus"
"Nephtys ciliata","Hyas araneus"
"Nereimyra punctata","Hyas araneus"
"Nereis zonata","Hyas araneus"
"Yoldia hyperborea","Hyas araneus"
"Yoldiella frigida","Hyas araneus"
"Yoldiella lenticula","Hyas araneus"
"Yoldiella solidula","Hyas araneus"
"Ophiocten sericeum","Hyas araneus"
"Ophiopholis aculeata","Hyas araneus"
"Ophiura robusta","Hyas araneus"
"Strongylocentrotus pallidus","Hyas araneus"
"Strongylocentrotus droebachiensis","Hyas araneus"
"Crossaster papposus","Hyas araneus"
"Henricia","Hyas araneus"
"Sediment","Hyas araneus"
"Phytodetritus","Ischyrocerus anguipes"
"Sediment","Ischyrocerus anguipes"
"Phytodetritus","Janira"
"Sediment","Janira"
"Phytodetritus","Lamprops fuscatus"
"Sediment","Lamprops fuscatus"
"Calanus finnmarchicus","Lebbeus polaris"
"Copepoda nauplii","Lebbeus polaris"
"Pseudocalanus","Lebbeus polaris"
"Oithona similis","Lebbeus polaris"
"Fritillaria","Lebbeus polaris"
"Limacina helicina","Lebbeus polaris"
"Phytodetritus","Lebbeus polaris"
"Phytodetritus","Melita dentata"
"Sediment","Melita dentata"
"Phytodetritus","Melita formosa"
"Sediment","Melita formosa"
"Phytodetritus","Melita palmata"
"Sediment","Melita palmata"
"Phytodetritus","Monoculodes borealis"
"Calanus finnmarchicus","Monoculodes longirostris"
"Onacea borealis","Monoculodes longirostris"
"Bradyidius similis","Monoculodes longirostris"
"Microcalanus pusillus","Monoculodes longirostris"
"Copepoda nauplii","Monoculodes longirostris"
"Metridia longa","Monoculodes longirostris"
"Metridia lucens","Monoculodes longirostris"
"Calanus glacialis","Monoculodes longirostris"
"Calanus hyperboreus","Monoculodes longirostris"
"Pseudocalanus","Monoculodes longirostris"
"Oithona similis","Monoculodes longirostris"
"Phytodetritus","Monoculodes longirostris"
"Phytodetritus","Munna"
"Sediment","Munna"
"Phytodetritus","Munnopsis"
"Sediment","Munnopsis"
"Phytodetritus","Mysis oculata"
"Sediment","Mysis oculata"
"Phytodetritus","Onisimus caricus"
"Sediment","Onisimus caricus"
"Phytodetritus","Onisimus edwardsi"
"Sediment","Onisimus edwardsi"
"Phytodetritus","Orchomenella minuta"
"Sediment","Orchomenella minuta"
"Heteromastus filiformis","Pagurus pubescens"
"Leitoscoloplos mammosus","Pagurus pubescens"
"Levinsenia gracilis","Pagurus pubescens"
"Lumbrineris","Pagurus pubescens"
"Lysippe labiata","Pagurus pubescens"
"Nephtys ciliata","Pagurus pubescens"
"Nereimyra punctata","Pagurus pubescens"
"Nereis zonata","Pagurus pubescens"
"Pholoe assimilis","Pagurus pubescens"
"Phyllodoce","Pagurus pubescens"
"Polydora","Pagurus pubescens"
"Cylichna cf. oculata","Pagurus pubescens"
"Elachisina globuloides","Pagurus pubescens"
"Erginus rubellus","Pagurus pubescens"
"Euspira pallida","Pagurus pubescens"
"Frigidoalvania cruenta","Pagurus pubescens"
"Ophiocten sericeum","Pagurus pubescens"
"Ophiopholis aculeata","Pagurus pubescens"
"Ophiura robusta","Pagurus pubescens"
"Strongylocentrotus pallidus","Pagurus pubescens"
"Strongylocentrotus droebachiensis","Pagurus pubescens"
"Crossaster papposus","Pagurus pubescens"
"Henricia","Pagurus pubescens"
"Urticina eques","Pagurus pubescens"
"Hormathia nodosa","Pagurus pubescens"
"Phytodetritus","Pagurus pubescens"
"Sediment","Pagurus pubescens"
"Phytodetritus","Pandalus borealis"
"Neoscolecithrix farrani","Parapleustes assimilis"
"Laminaria saccharina","Parapleustes assimilis"
"Laminaria digitata","Parapleustes assimilis"
"Diastylis goodsiri","Parapleustes assimilis"
"Diastylis lucifera","Parapleustes assimilis"
"Diastylis rathkii","Parapleustes assimilis"
"Phytodetritus","Parapleustes assimilis"
"Sediment","Parapleustes assimilis"
"Neoscolecithrix farrani","Parapleustes bicuspis"
"Laminaria saccharina","Parapleustes bicuspis"
"Laminaria digitata","Parapleustes bicuspis"
"Diastylis goodsiri","Parapleustes bicuspis"
"Diastylis lucifera","Parapleustes bicuspis"
"Diastylis rathkii","Parapleustes bicuspis"
"Ischyrocerus anguipes","Parapleustes bicuspis"
"Janira","Parapleustes bicuspis"
"Lamprops fuscatus","Parapleustes bicuspis"
"Phytodetritus","Parapleustes bicuspis"
"Sediment","Parapleustes bicuspis"
"Neoscolecithrix farrani","Parapleustes monocuspis"
"Boreomysis arctica","Parapleustes monocuspis"
"Laminaria saccharina","Parapleustes monocuspis"
"Laminaria digitata","Parapleustes monocuspis"
"Phytodetritus","Parapleustes monocuspis"
"Sediment","Parapleustes monocuspis"
"Neoscolecithrix farrani","Paroediceros lynceus"
"Laminaria saccharina","Paroediceros lynceus"
"Laminaria digitata","Paroediceros lynceus"
