"res_sp","con_sp"
"Laminaria digitata","Erginus rubellus"
"Saccorhiza dermatodea","Erginus rubellus"
"Laminaria solidungula","Erginus rubellus"
"Phycodrys rubens","Erginus rubellus"
"Ptilta gunneri","Erginus rubellus"
"Fimbrifolium dichotomum","Erginus rubellus"
"Desmarestia aculeata","Erginus rubellus"
"Palmaria palmata","Erginus rubellus"
"Devaleraea ramentacea","Erginus rubellus"
"Turnerella pennyi","Erginus rubellus"
"Desmarestia viridis","Erginus rubellus"
"Phytodetritus","Erginus rubellus"
"Phytodetritus","Euspira pallida"
"Phytodetritus","Frigidoalvania cruenta"
"Sediment","Frigidoalvania cruenta"
"Phytodetritus","Lepeta caeca"
"Laminaria saccharina","Margarites groenlandicus"
"Phytodetritus","Margarites groenlandicus"
"Sediment","Margarites groenlandicus"
"Laminaria saccharina","Margarites helicinus"
"Phytodetritus","Margarites helicinus"
"Sediment","Margarites helicinus"
"Laminaria saccharina","Menestho albula"
"Phytodetritus","Menestho albula"
"Sediment","Menestho albula"
"Laminaria saccharina","Menestho truncatula"
"Phytodetritus","Menestho truncatula"
"Sediment","Menestho truncatula"
"Laminaria saccharina","Oenopota impressa"
"Phytodetritus","Oenopota impressa"
"Sediment","Oenopota impressa"
"Fucus distichus","Philine"
"Pylaiella littoralis","Philine"
"Chordaria flagelliformis","Philine"
"Acrosiphonia","Philine"
"Alaria esculenta","Philine"
"Laminaria saccharina","Philine"
"Laminaria digitata","Philine"
"Saccorhiza dermatodea","Philine"
"Laminaria solidungula","Philine"
"Phycodrys rubens","Philine"
"Ptilta gunneri","Philine"
"Fimbrifolium dichotomum","Philine"
"Desmarestia aculeata","Philine"
"Palmaria palmata","Philine"
"Devaleraea ramentacea","Philine"
"Turnerella pennyi","Philine"
"Desmarestia viridis","Philine"
"Phytodetritus","Philine"
"Sediment","Philine"
"Laminaria solidungula","Puncturella noachina"
"Halicryptus spinulosus","Puncturella noachina"
"Priapulus caudatus","Puncturella noachina"
"Sipunculida","Puncturella noachina"
"Macoma calcarea","Puncturella noachina"
"Macoma moesta","Puncturella noachina"
"Urticina eques","Puncturella noachina"
"Hormathia nodosa","Puncturella noachina"
"Phytodetritus","Puncturella noachina"
"Sediment","Puncturella noachina"
"Laminaria solidungula","Retusa obtusata"
"Halicryptus spinulosus","Retusa obtusata"
"Priapulus caudatus","Retusa obtusata"
"Sipunculida","Retusa obtusata"
"Urticina eques","Retusa obtusata"
"Hormathia nodosa","Retusa obtusata"
"Phytodetritus","Retusa obtusata"
"Sediment","Retusa obtusata"
"Laminaria solidungula","Solariella varicosa"
"Phytodetritus","Solariella varicosa"
"Sediment","Solariella varicosa"
"Fucus distichus","Trophon clathratus"
"Pylaiella littoralis","Trophon clathratus"
"Chordaria flagelliformis","Trophon clathratus"
"Acrosiphonia","Trophon clathratus"
"Alaria esculenta","Trophon clathratus"
"Laminaria saccharina","Trophon clathratus"
"Laminaria digitata","Trophon clathratus"
"Saccorhiza dermatodea","Trophon clathratus"
"Laminaria solidungula","Trophon clathratus"
"Phycodrys rubens","Trophon clathratus"
"Ptilta gunneri","Trophon clathratus"
"Fimbrifolium dichotomum","Trophon clathratus"
"Desmarestia aculeata","Trophon clathratus"
"Palmaria palmata","Trophon clathratus"
"Devaleraea ramentacea","Trophon clathratus"
"Turnerella pennyi","Trophon clathratus"
"Desmarestia viridis","Trophon clathratus"
"Sediment","Trophon clathratus"
"POM","Arctinula groenlandica"
"Phytodetritus","Arctinula groenlandica"
"POM","Astarte borealis"
"Phytodetritus","Astarte borealis"
"POM","Astarte montagui"
"Phytodetritus","Astarte montagui"
"POM","Axinopsida orbiculata"
"Phytodetritus","Axinopsida orbiculata"
"POM","Boreacola maltzani"
"Phytodetritus","Boreacola maltzani"
"POM","Ciliatocardium ciliatum"
"Phytodetritus","Ciliatocardium ciliatum"
"POM","Diplodonta torelli"
"Phytodetritus","Diplodonta torelli"
"POM","Ennucula tenuis"
"Phytodetritus","Ennucula tenuis"
"POM","Hiatella arctica"
"Phytodetritus","Hiatella arctica"
"POM","Liocyma fluctuosa"
"Phytodetritus","Liocyma fluctuosa"
"POM","Lyonsia arenosa"
"Phytodetritus","Lyonsia arenosa"
"POM","Macoma calcarea"
"Phytodetritus","Macoma calcarea"
"POM","Macoma moesta"
"Phytodetritus","Macoma moesta"
"POM","Musculus corrugatus"
"Phytodetritus","Musculus corrugatus"
"POM","Musculus discors"
"Phytodetritus","Musculus discors"
"POM","Mya truncata"
"Phytodetritus","Mya truncata"
"POM","Nuculana minuta"
"Phytodetritus","Nuculana minuta"
"POM","Nuculana pernula"
"Phytodetritus","Nuculana pernula"
"POM","Pandora glacialis"
"Phytodetritus","Pandora glacialis"
"POM","Serripes groenlandicus"
"Phytodetritus","Serripes groenlandicus"
"POM","Thracia myopsis"
"Phytodetritus","Thracia myopsis"
"POM","Thyasira dunbari"
"Phytodetritus","Thyasira dunbari"
"POM","Thyasira gouldi"
"Phytodetritus","Thyasira gouldi"
"POM","Yoldia hyperborea"
"Phytodetritus","Yoldia hyperborea"
"POM","Yoldiella frigida"
"Phytodetritus","Yoldiella frigida"
"POM","Yoldiella lenticula"
"Phytodetritus","Yoldiella lenticula"
"POM","Yoldiella solidula"
"Phytodetritus","Yoldiella solidula"
"Laminaria saccharina","Ophiocten sericeum"
"Laminaria digitata","Ophiocten sericeum"
"Haliclona","Ophiocten sericeum"
"Harmothoe imbricata","Ophiocten sericeum"
"Heteromastus filiformis","Ophiocten sericeum"
"Ophiocten sericeum","Ophiocten sericeum"
"Ophiopholis aculeata","Ophiocten sericeum"
"Ophiura robusta","Ophiocten sericeum"
"Styela rustica","Ophiocten sericeum"
"Halocynthia pyriformis","Ophiocten sericeum"
"Urticina eques","Ophiocten sericeum"
"Hormathia nodosa","Ophiocten sericeum"
"POM","Ophiocten sericeum"
"Phytodetritus","Ophiocten sericeum"
"Sediment","Ophiocten sericeum"
"POM","Ophiopholis aculeata"
"Phytodetritus","Ophiopholis aculeata"
"Sediment","Ophiopholis aculeata"
"Haliclona","Ophiura robusta"
"Urticina eques","Ophiura robusta"
"Hormathia nodosa","Ophiura robusta"
"POM","Ophiura robusta"
"Phytodetritus","Ophiura robusta"
"Sediment","Ophiura robusta"
"Fucus distichus","Strongylocentrotus pallidus"
"Pylaiella littoralis","Strongylocentrotus pallidus"
"Chordaria flagelliformis","Strongylocentrotus pallidus"
"Acrosiphonia","Strongylocentrotus pallidus"
"Alaria esculenta","Strongylocentrotus pallidus"
"Laminaria saccharina","Strongylocentrotus pallidus"
"Laminaria digitata","Strongylocentrotus pallidus"
"Saccorhiza dermatodea","Strongylocentrotus pallidus"
"Laminaria solidungula","Strongylocentrotus pallidus"
"Phycodrys rubens","Strongylocentrotus pallidus"
"Ptilta gunneri","Strongylocentrotus pallidus"
"Fimbrifolium dichotomum","Strongylocentrotus pallidus"
"Desmarestia aculeata","Strongylocentrotus pallidus"
"Palmaria palmata","Strongylocentrotus pallidus"
"Devaleraea ramentacea","Strongylocentrotus pallidus"
"Turnerella pennyi","Strongylocentrotus pallidus"
"Desmarestia viridis","Strongylocentrotus pallidus"
"Haliclona","Strongylocentrotus pallidus"
"Styela rustica","Strongylocentrotus pallidus"
"Halocynthia pyriformis","Strongylocentrotus pallidus"
"Urticina eques","Strongylocentrotus pallidus"
"Hormathia nodosa","Strongylocentrotus pallidus"
"POM","Strongylocentrotus pallidus"
"Phytodetritus","Strongylocentrotus pallidus"
"Sediment","Strongylocentrotus pallidus"
"Fucus distichus","Strongylocentrotus droebachiensis"
"Pylaiella littoralis","Strongylocentrotus droebachiensis"
"Chordaria flagelliformis","Strongylocentrotus droebachiensis"
"Acrosiphonia","Strongylocentrotus droebachiensis"
"Alaria esculenta","Strongylocentrotus droebachiensis"
"Laminaria saccharina","Strongylocentrotus droebachiensis"
"Laminaria digitata","Strongylocentrotus droebachiensis"
"Saccorhiza dermatodea","Strongylocentrotus droebachiensis"
"Laminaria solidungula","Strongylocentrotus droebachiensis"
"Phycodrys rubens","Strongylocentrotus droebachiensis"
"Ptilta gunneri","Strongylocentrotus droebachiensis"
"Fimbrifolium dichotomum","Strongylocentrotus droebachiensis"
"Desmarestia aculeata","Strongylocentrotus droebachiensis"
"Palmaria palmata","Strongylocentrotus droebachiensis"
"Devaleraea ramentacea","Strongylocentrotus droebachiensis"
"Turnerella pennyi","Strongylocentrotus droebachiensis"
"Desmarestia viridis","Strongylocentrotus droebachiensis"
"Haliclona","Strongylocentrotus droebachiensis"
"Halocynthia pyriformis","Strongylocentrotus droebachiensis"
"Urticina eques","Strongylocentrotus droebachiensis"
"Hormathia nodosa","Strongylocentrotus droebachiensis"
"POM","Strongylocentrotus droebachiensis"
"Phytodetritus","Strongylocentrotus droebachiensis"
"Sediment","Strongylocentrotus droebachiensis"
"Fucus distichus","Crossaster papposus"
"Laminaria saccharina","Crossaster papposus"
"Laminaria digitata","Crossaster papposus"
"Aglaophamus malmgreni","Crossaster papposus"
"Ampharete finmarchica","Crossaster papposus"
"Brada inhabilis","Crossaster papposus"
"Brada villosa","Crossaster papposus"
"Bylgides elegans","Crossaster papposus"
"Bylgides groenlandica","Crossaster papposus"
"Capitella capitata","Crossaster papposus"
"Chaetozone","Crossaster papposus"
"Chone","Crossaster papposus"
"Circeis","Crossaster papposus"
"Cossura longocirrata","Crossaster papposus"
"Diplocirrus hirsutus","Crossaster papposus"
"Eteone","Crossaster papposus"
"Euchone","Crossaster papposus"
"Gattyana cirrhosa","Crossaster papposus"
"Glycera capitata","Crossaster papposus"
"Harmothoe imbricata","Crossaster papposus"
"Heteromastus filiformis","Crossaster papposus"
"Leitoscoloplos mammosus","Crossaster papposus"
"Levinsenia gracilis","Crossaster papposus"
"Lumbrineris","Crossaster papposus"
"Lysippe labiata","Crossaster papposus"
"Nephtys ciliata","Crossaster papposus"
"Nereimyra punctata","Crossaster papposus"
"Nereis zonata","Crossaster papposus"
"Pholoe assimilis","Crossaster papposus"
"Phyllodoce","Crossaster papposus"
"Polydora","Crossaster papposus"
"Prionospio cirrifera","Crossaster papposus"
"Sabellides octocirrata","Crossaster papposus"
"Samytha sexcirrata","Crossaster papposus"
"Scoletoma fragilis","Crossaster papposus"
"Scoloplos armiger","Crossaster papposus"
"Spio","Crossaster papposus"
"Terebellides stroemi","Crossaster papposus"
"Thelepus cincinnatus","Crossaster papposus"
"Halicryptus spinulosus","Crossaster papposus"
"Priapulus caudatus","Crossaster papposus"
"Sipunculida","Crossaster papposus"
"Pycnogonida","Crossaster papposus"
"Chaetoderma","Crossaster papposus"
"Tonicella marmorea","Crossaster papposus"
"Tonicella rubra","Crossaster papposus"
"Axinopsida orbiculata","Crossaster papposus"
"Boreacola maltzani","Crossaster papposus"
"Ciliatocardium ciliatum","Crossaster papposus"
"Diplodonta torelli","Crossaster papposus"
"Ophiocten sericeum","Crossaster papposus"
"Ophiopholis aculeata","Crossaster papposus"
"Ophiura robusta","Crossaster papposus"
"Strongylocentrotus pallidus","Crossaster papposus"
"Strongylocentrotus droebachiensis","Crossaster papposus"
"Crossaster papposus","Crossaster papposus"
"Henricia","Crossaster papposus"
"Phytodetritus","Crossaster papposus"
"Sediment","Crossaster papposus"
"Fucus distichus","Henricia"
"Pylaiella littoralis","Henricia"
"Chordaria flagelliformis","Henricia"
"Acrosiphonia","Henricia"
"Alaria esculenta","Henricia"
"Laminaria saccharina","Henricia"
"Laminaria digitata","Henricia"
"Saccorhiza dermatodea","Henricia"
"Laminaria solidungula","Henricia"
"Phycodrys rubens","Henricia"
"Ptilta gunneri","Henricia"
"Fimbrifolium dichotomum","Henricia"
"Desmarestia aculeata","Henricia"
"Palmaria palmata","Henricia"
"Devaleraea ramentacea","Henricia"
"Turnerella pennyi","Henricia"
"Desmarestia viridis","Henricia"
"Phytodetritus","Henricia"
"Sediment","Henricia"
"POM","Styela rustica"
"Phytodetritus","Styela rustica"
"Sediment","Styela rustica"
"POM","Halocynthia pyriformis"
"Phytodetritus","Halocynthia pyriformis"
"Sediment","Halocynthia pyriformis"
"POM","Urticina eques"
"Phytodetritus","Urticina eques"
"Sediment","Urticina eques"
"POM","Hormathia nodosa"
"Phytodetritus","Hormathia nodosa"
"Sediment","Hormathia nodosa"
"Calanus finnmarchicus","Pandalus borealis"
"Calanus glacialis","Pandalus borealis"
"Calanus hyperboreus","Pandalus borealis"
"Clione limacina","Pandalus borealis"
"Limacina helicina","Pandalus borealis"
"POM","Pandalus borealis"
"Calanus finnmarchicus","Sabinea septemcarinata"
"Calanus glacialis","Sabinea septemcarinata"
"Calanus hyperboreus","Sabinea septemcarinata"
"POM","Sabinea septemcarinata"
"Phaeocystis pouchetii","Lebbeus polaris"
"Chaetoceros socialis","Lebbeus polaris"
"Thalassiosira nordenskioeldii","Lebbeus polaris"
"Fragilariopsis","Lebbeus polaris"
"Protoperidinium","Lebbeus polaris"
"Gymnodinium","Lebbeus polaris"
"Dinobryon balticum","Lebbeus polaris"
"Thalassiosira antarctica","Lebbeus polaris"
"Cylindrotheca closterium","Lebbeus polaris"
"Chaetoceros","Lebbeus polaris"
"Coccolithus pleagicus","Lebbeus polaris"
"Globoquadriana pachyderma","Lebbeus polaris"
"Globigerinita bradyi","Lebbeus polaris"
"Globigerina quinqueloba","Lebbeus polaris"
"Nitzschia frigida","Lebbeus polaris"
"Pleurosigma stuxbergii","Lebbeus polaris"
"Cylindrotheca closterium","Lebbeus polaris"
"Navicula pelagica","Lebbeus polaris"
"Entomoneis","Lebbeus polaris"
"Cocconeis","Lebbeus polaris"
"Dinophysis acuta","Lebbeus polaris"
"Calanus finnmarchicus","Lebbeus polaris"
"POM","Lebbeus polaris"
"Phaeocystis pouchetii","Sclerocrangon boreas"
"Chaetoceros socialis","Sclerocrangon boreas"
"Thalassiosira nordenskioeldii","Sclerocrangon boreas"
"Fragilariopsis","Sclerocrangon boreas"
"Protoperidinium","Sclerocrangon boreas"
"Gymnodinium","Sclerocrangon boreas"
"Dinobryon balticum","Sclerocrangon boreas"
"Thalassiosira antarctica","Sclerocrangon boreas"
"Cylindrotheca closterium","Sclerocrangon boreas"
"Chaetoceros","Sclerocrangon boreas"
"Coccolithus pleagicus","Sclerocrangon boreas"
"Globoquadriana pachyderma","Sclerocrangon boreas"
"Globigerinita bradyi","Sclerocrangon boreas"
"Globigerina quinqueloba","Sclerocrangon boreas"
"Nitzschia frigida","Sclerocrangon boreas"
"Pleurosigma stuxbergii","Sclerocrangon boreas"
"Cylindrotheca closterium","Sclerocrangon boreas"
"Navicula pelagica","Sclerocrangon boreas"
"Entomoneis","Sclerocrangon boreas"
"Cocconeis","Sclerocrangon boreas"
"Dinophysis acuta","Sclerocrangon boreas"
"POM","Sclerocrangon boreas"
"Phaeocystis pouchetii","Spirontocaris spinus"
"Chaetoceros socialis","Spirontocaris spinus"
"Thalassiosira nordenskioeldii","Spirontocaris spinus"
"Fragilariopsis","Spirontocaris spinus"
"Protoperidinium","Spirontocaris spinus"
"Gymnodinium","Spirontocaris spinus"
"Dinobryon balticum","Spirontocaris spinus"
"Thalassiosira antarctica","Spirontocaris spinus"
"Cylindrotheca closterium","Spirontocaris spinus"
"Chaetoceros","Spirontocaris spinus"
"Coccolithus pleagicus","Spirontocaris spinus"
"Globoquadriana pachyderma","Spirontocaris spinus"
"Globigerinita bradyi","Spirontocaris spinus"
"Globigerina quinqueloba","Spirontocaris spinus"
"Nitzschia frigida","Spirontocaris spinus"
"Pleurosigma stuxbergii","Spirontocaris spinus"
"Cylindrotheca closterium","Spirontocaris spinus"
"Navicula pelagica","Spirontocaris spinus"
"Entomoneis","Spirontocaris spinus"
"Cocconeis","Spirontocaris spinus"
"Dinophysis acuta","Spirontocaris spinus"
"Calanus finnmarchicus","Boreogadus saida"
"Onacea borealis","Boreogadus saida"
"Bradyidius similis","Boreogadus saida"
"Microcalanus pusillus","Boreogadus saida"
"Copepoda nauplii","Boreogadus saida"
"Metridia longa","Boreogadus saida"
"Metridia lucens","Boreogadus saida"
"Calanus glacialis","Boreogadus saida"
"Calanus hyperboreus","Boreogadus saida"
"Pseudocalanus","Boreogadus saida"
"Oithona similis","Boreogadus saida"
"Clione limacina","Boreogadus saida"
"Limacina helicina","Boreogadus saida"
"Gaidius tenuispinus","Boreogadus saida"
"Bradyidius similis","Boreogadus saida"
"Xanthocalanus","Boreogadus saida"
"Thysanoessa raschii","Boreogadus saida"
"Thysanoessa longicaudata","Boreogadus saida"
"Thysanoessa inermis","Boreogadus saida"
"Meganyctiphanes norvegica","Boreogadus saida"
"Boreogadus saida","Boreogadus saida"
"Reinhardtius hipoglossoides","Boreogadus saida"
"Sebastes mentella","Boreogadus saida"
"Thysanoessa raschii","Gadus morhua"
"Thysanoessa longicaudata","Gadus morhua"
"Thysanoessa inermis","Gadus morhua"
"Themisto libellula","Gadus morhua"
"Themisto abyssorum","Gadus morhua"
"Boremysis arctica","Gadus morhua"
"Neoscolecithrix farrani","Gadus morhua"
"Mertensia ovum","Gadus morhua"
"Beroe cucumis","Gadus morhua"
"Meganyctiphanes norvegica","Gadus morhua"
"Boreomysis arctica","Gadus morhua"
"Ischyroceros","Gadus morhua"
"Gammarus setosus","Gadus morhua"
"Gammarellus homari","Gadus morhua"
"Onisimus littoralis","Gadus morhua"
"Anonyx nugax","Gadus morhua"
"Anonyx sarsi","Gadus morhua"
"Arrhis phyllonyx","Gadus morhua"
"Brachydiastylis resima","Gadus morhua"
"Caprella septentrionalis","Gadus morhua"
"Corophium crassicorne","Gadus morhua"
"Diastylis goodsiri","Gadus morhua"
"Diastylis lucifera","Gadus morhua"
"Diastylis rathkii","Gadus morhua"
"Eryhtrops erythropthalma","Gadus morhua"
"Eualus gaimardi","Gadus morhua"
"Gammarus setosus","Gadus morhua"
"Halirages fulvocinctus","Gadus morhua"
"Hyas araneus","Gadus morhua"
"Ischyrocerus anguipes","Gadus morhua"
"Janira","Gadus morhua"
"Lamprops fuscatus","Gadus morhua"
"Lebbeus polaris","Gadus morhua"
"Melita dentata","Gadus morhua"
"Melita formosa","Gadus morhua"
"Melita palmata","Gadus morhua"
"Monoculodes borealis","Gadus morhua"
"Monoculodes longirostris","Gadus morhua"
"Munna","Gadus morhua"
"Munnopsis","Gadus morhua"
"Mysis oculata","Gadus morhua"
"Onisimus caricus","Gadus morhua"
"Onisimus edwardsi","Gadus morhua"
"Orchomenella minuta","Gadus morhua"
"Pagurus pubescens","Gadus morhua"
"Pandalus borealis","Gadus morhua"
"Parapleustes assimilis","Gadus morhua"
"Parapleustes bicuspis","Gadus morhua"
"Parapleustes monocuspis","Gadus morhua"
"Paroediceros lynceus","Gadus morhua"
"Pleustes panoplus","Gadus morhua"
"Pleusymtes glabroides","Gadus morhua"
"Pontoporeia femorata","Gadus morhua"
"Rhachotropis inflata","Gadus morhua"
"Spirontocaris spinus","Gadus morhua"
"Spirontocaris turgida","Gadus morhua"
"Stilomysis grandis","Gadus morhua"
"Syrrhoe crenulata","Gadus morhua"
"Tanaidacea","Gadus morhua"
"Unciola leucopis","Gadus morhua"
"Weyprechtia pinguis","Gadus morhua"
"Boreogadus saida","Gadus morhua"
"Gadus morhua","Gadus morhua"
"Reinhardtius hipoglossoides","Gadus morhua"
"Hipoglossoides platessoides","Gadus morhua"
"Lycodes","Gadus morhua"
"Sebastes mentella","Gadus morhua"
"Liparis liparis","Gadus morhua"
"Anisarchus medius","Gadus morhua"
"Lumpenus lampretaeformis","Gadus morhua"
"Leptagonus decagonus","Gadus morhua"
"Leptoclinus maculatus","Gadus morhua"
"Liparis fabricii","Gadus morhua"
"Artediellus europeus","Gadus morhua"
"Careproctus reinhardti","Gadus morhua"
"Sebastes marinus","Gadus morhua"
"Mallotus villosus","Gadus morhua"
"Eumicotremus derjugini","Gadus morhua"
"Raja clavata","Gadus morhua"
"Myoxocephalus scorpius","Gadus morhua"
"Liparis liparis","Gadus morhua"
"Anarhichas lupus","Gadus morhua"
"Gymnocanthus tricuspis","Gadus morhua"
"Thysanoessa raschii","Reinhardtius hipoglossoides"
"Thysanoessa longicaudata","Reinhardtius hipoglossoides"
"Thysanoessa inermis","Reinhardtius hipoglossoides"
"Meganyctiphanes norvegica","Reinhardtius hipoglossoides"
"Lebbeus polaris","Reinhardtius hipoglossoides"
"Pandalus borealis","Reinhardtius hipoglossoides"
"Pandalus borealis","Reinhardtius hipoglossoides"
"Sabinea septemcarinata","Reinhardtius hipoglossoides"
"Lebbeus polaris","Reinhardtius hipoglossoides"
"Sclerocrangon boreas","Reinhardtius hipoglossoides"
"Spirontocaris spinus","Reinhardtius hipoglossoides"
"Boreogadus saida","Reinhardtius hipoglossoides"
"Sebastes mentella","Reinhardtius hipoglossoides"
"Aglaophamus malmgreni","Hipoglossoides platessoides"
"Ampharete finmarchica","Hipoglossoides platessoides"
"Brada inhabilis","Hipoglossoides platessoides"
"Brada villosa","Hipoglossoides platessoides"
"Bylgides elegans","Hipoglossoides platessoides"
"Bylgides groenlandica","Hipoglossoides platessoides"
"Capitella capitata","Hipoglossoides platessoides"
"Chaetozone","Hipoglossoides platessoides"
"Chone","Hipoglossoides platessoides"
"Circeis","Hipoglossoides platessoides"
"Cossura longocirrata","Hipoglossoides platessoides"
"Diplocirrus hirsutus","Hipoglossoides platessoides"
"Eteone","Hipoglossoides platessoides"
"Euchone","Hipoglossoides platessoides"
"Gattyana cirrhosa","Hipoglossoides platessoides"
"Glycera capitata","Hipoglossoides platessoides"
"Harmothoe imbricata","Hipoglossoides platessoides"
"Heteromastus filiformis","Hipoglossoides platessoides"
"Leitoscoloplos mammosus","Hipoglossoides platessoides"
"Levinsenia gracilis","Hipoglossoides platessoides"
"Lumbrineris","Hipoglossoides platessoides"
"Lysippe labiata","Hipoglossoides platessoides"
"Nephtys ciliata","Hipoglossoides platessoides"
"Nereimyra punctata","Hipoglossoides platessoides"
"Nereis zonata","Hipoglossoides platessoides"
"Pholoe assimilis","Hipoglossoides platessoides"
"Phyllodoce","Hipoglossoides platessoides"
"Polydora","Hipoglossoides platessoides"
"Prionospio cirrifera","Hipoglossoides platessoides"
"Sabellides octocirrata","Hipoglossoides platessoides"
"Samytha sexcirrata","Hipoglossoides platessoides"
"Scoletoma fragilis","Hipoglossoides platessoides"
"Scoloplos armiger","Hipoglossoides platessoides"
"Spio","Hipoglossoides platessoides"
"Terebellides stroemi","Hipoglossoides platessoides"
"Halirages fulvocinctus","Lycodes"
"Ischyrocerus anguipes","Lycodes"
"Janira","Lycodes"
"Lamprops fuscatus","Lycodes"
"Parapleustes bicuspis","Lycodes"
"Parapleustes monocuspis","Lycodes"
"Paroediceros lynceus","Lycodes"
"Pleustes panoplus","Lycodes"
"Pleusymtes glabroides","Lycodes"
"Pontoporeia femorata","Lycodes"
"Rhachotropis inflata","Lycodes"
"Spirontocaris spinus","Lycodes"
"Spirontocaris turgida","Lycodes"
"Stilomysis grandis","Lycodes"
"Syrrhoe crenulata","Lycodes"
"Tanaidacea","Lycodes"
"Unciola leucopis","Lycodes"
"Weyprechtia pinguis","Lycodes"
"Thelepus cincinnatus","Lycodes"
"Thysanoessa raschii","Sebastes mentella"
"Thysanoessa longicaudata","Sebastes mentella"
"Thysanoessa inermis","Sebastes mentella"
"Meganyctiphanes norvegica","Sebastes mentella"
"Lebbeus polaris","Sebastes mentella"
"Pandalus borealis","Sebastes mentella"
"Pandalus borealis","Sebastes mentella"
"Sabinea septemcarinata","Sebastes mentella"
"Lebbeus polaris","Sebastes mentella"
"Sclerocrangon boreas","Sebastes mentella"
"Spirontocaris spinus","Sebastes mentella"
"Boreogadus saida","Sebastes mentella"
"Reinhardtius hipoglossoides","Sebastes mentella"
"Lebbeus polaris","Liparis liparis"
"Pandalus borealis","Liparis liparis"
"Aglaophamus malmgreni","Liparis liparis"
"Ampharete finmarchica","Liparis liparis"
"Brada inhabilis","Liparis liparis"
"Brada villosa","Liparis liparis"
"Bylgides elegans","Liparis liparis"
"Bylgides groenlandica","Liparis liparis"
"Capitella capitata","Liparis liparis"
"Chaetozone","Liparis liparis"
"Chone","Liparis liparis"
"Circeis","Liparis liparis"
"Cossura longocirrata","Liparis liparis"
"Diplocirrus hirsutus","Liparis liparis"
"Eteone","Liparis liparis"
"Euchone","Liparis liparis"
"Gattyana cirrhosa","Liparis liparis"
"Glycera capitata","Liparis liparis"
"Harmothoe imbricata","Liparis liparis"
"Heteromastus filiformis","Liparis liparis"
"Leitoscoloplos mammosus","Liparis liparis"
"Levinsenia gracilis","Liparis liparis"
"Lumbrineris","Liparis liparis"
"Lysippe labiata","Liparis liparis"
"Nephtys ciliata","Liparis liparis"
"Nereimyra punctata","Liparis liparis"
"Nereis zonata","Liparis liparis"
"Pholoe assimilis","Liparis liparis"
"Phyllodoce","Liparis liparis"
"Polydora","Liparis liparis"
"Prionospio cirrifera","Liparis liparis"
"Sabellides octocirrata","Liparis liparis"
"Samytha sexcirrata","Liparis liparis"
"Scoletoma fragilis","Liparis liparis"
"Scoloplos armiger","Liparis liparis"
"Spio","Liparis liparis"
"Terebellides stroemi","Liparis liparis"
"Thelepus cincinnatus","Liparis liparis"
"Pandalus borealis","Liparis liparis"
"Sabinea septemcarinata","Liparis liparis"
"Lebbeus polaris","Liparis liparis"
"Sclerocrangon boreas","Liparis liparis"
"Spirontocaris spinus","Liparis liparis"
"Hyas araneus","Anisarchus medius"
"Buccinum scalariforme","Anisarchus medius"
"Buccinum terranovae","Anisarchus medius"
"Buccinum undatum","Anisarchus medius"
"Ophiocten sericeum","Anisarchus medius"
"Ophiopholis aculeata","Anisarchus medius"
"Ophiura robusta","Anisarchus medius"
"Strongylocentrotus pallidus","Anisarchus medius"
"Strongylocentrotus droebachiensis","Anisarchus medius"
"Crossaster papposus","Anisarchus medius"
"Henricia","Anisarchus medius"
"Liparis liparis","Anisarchus medius"
"Anisarchus medius","Anisarchus medius"
"Lumpenus lampretaeformis","Anisarchus medius"
"Leptagonus decagonus","Anisarchus medius"
"Leptoclinus maculatus","Anisarchus medius"
"Liparis fabricii","Anisarchus medius"
"Artediellus europeus","Anisarchus medius"
"Careproctus reinhardti","Anisarchus medius"
"Sebastes marinus","Anisarchus medius"
"Mallotus villosus","Anisarchus medius"
"Eumicotremus derjugini","Anisarchus medius"
"Astarte borealis","Lumpenus lampretaeformis"
"Astarte montagui","Lumpenus lampretaeformis"
"Axinopsida orbiculata","Lumpenus lampretaeformis"
"Boreacola maltzani","Lumpenus lampretaeformis"
"Ciliatocardium ciliatum","Lumpenus lampretaeformis"
"Diplodonta torelli","Lumpenus lampretaeformis"
"Ennucula tenuis","Lumpenus lampretaeformis"
"Hiatella arctica","Lumpenus lampretaeformis"
"Liocyma fluctuosa","Lumpenus lampretaeformis"
"Lyonsia arenosa","Lumpenus lampretaeformis"
"Macoma calcarea","Lumpenus lampretaeformis"
"Macoma moesta","Lumpenus lampretaeformis"
"Musculus corrugatus","Lumpenus lampretaeformis"
"Musculus discors","Lumpenus lampretaeformis"
"Nuculana minuta","Lumpenus lampretaeformis"
"Nuculana pernula","Lumpenus lampretaeformis"
"Pandora glacialis","Lumpenus lampretaeformis"
"Serripes groenlandicus","Lumpenus lampretaeformis"
"Thracia myopsis","Lumpenus lampretaeformis"
"Thyasira dunbari","Lumpenus lampretaeformis"
"Thyasira gouldi","Lumpenus lampretaeformis"
"Yoldia hyperborea","Lumpenus lampretaeformis"
"Yoldiella frigida","Lumpenus lampretaeformis"
"Yoldiella lenticula","Lumpenus lampretaeformis"
"Yoldiella solidula","Lumpenus lampretaeformis"
"Ophiocten sericeum","Lumpenus lampretaeformis"
"Ophiopholis aculeata","Lumpenus lampretaeformis"
"Ophiura robusta","Lumpenus lampretaeformis"
"Glycera capitata","Leptagonus decagonus"
"Harmothoe imbricata","Leptagonus decagonus"
