"con_number","consumer_sp","res_number","resource_sp","certainty"
"79","aysheaia pedunculata","37","hazelia delicatula","1"
"79","aysheaia pedunculata","38","hazelia dignata","1"
"79","aysheaia pedunculata","39","hazelia grandis","1"
"79","aysheaia pedunculata","40","hazelia luteria","1"
"79","aysheaia pedunculata","41","hazelia nodulifera","1"
"79","aysheaia pedunculata","42","hazelia obscura","1"
"79","aysheaia pedunculata","43","hazelia palmate","1"
"79","aysheaia pedunculata","44","leptomitus lineatus","1"
"79","aysheaia pedunculata","45","moleculopina mammilata","1"
"79","aysheaia pedunculata","46","pirania muricata","1"
"79","aysheaia pedunculata","47","sentinelia draco","1"
"79","aysheaia pedunculata","48","takakkawia lineate","1"
"79","aysheaia pedunculata","49","vauxia bellula","1"
"79","aysheaia pedunculata","50","vauxia densa","1"
"79","aysheaia pedunculata","51","vauxia gracilenta","1"
"79","aysheaia pedunculata","52","vauxia venata","1"
"79","aysheaia pedunculata","53","wapkia grandis","1"
"79","aysheaia pedunculata","54","diagoniella hindei","1"
"79","aysheaia pedunculata","55","protospongia hicksi","1"
"79","aysheaia pedunculata","56","stephanospongia magnipora","1"
"79","aysheaia pedunculata","57","canistrumella alternata","1"
"79","aysheaia pedunculata","58","eiffelia globosa","1"
"80","hallucigenia sparsa","26","capsospongia undulata","1"
"80","hallucigenia sparsa","27","choia carteri","1"
"80","hallucigenia sparsa","28","choia ridleyi","1"
"80","hallucigenia sparsa","29","crumillospongia biporosa","1"
"80","hallucigenia sparsa","30","crumillospongia frondosa","1"
"80","hallucigenia sparsa","31","falospongia falata","1"
"80","hallucigenia sparsa","32","fieldospongia bellilineata","1"
"80","hallucigenia sparsa","33","halichondrites elissa","1"
"80","hallucigenia sparsa","34","hamptonia bowerbanki","1"
"80","hallucigenia sparsa","35","hazelia conferta","1"
"80","hallucigenia sparsa","36","hazelia criteria","1"
"80","hallucigenia sparsa","37","hazelia delicatula","1"
"80","hallucigenia sparsa","38","hazelia dignata","1"
"80","hallucigenia sparsa","39","hazelia grandis","1"
"80","hallucigenia sparsa","40","hazelia luteria","1"
"80","hallucigenia sparsa","41","hazelia nodulifera","1"
"80","hallucigenia sparsa","42","hazelia obscura","1"
"80","hallucigenia sparsa","43","hazelia palmate","1"
"80","hallucigenia sparsa","44","leptomitus lineatus","1"
"80","hallucigenia sparsa","45","moleculopina mammilata","1"
"80","hallucigenia sparsa","46","pirania muricata","1"
"80","hallucigenia sparsa","47","sentinelia draco","1"
"80","hallucigenia sparsa","48","takakkawia lineate","1"
"80","hallucigenia sparsa","49","vauxia bellula","1"
"80","hallucigenia sparsa","50","vauxia densa","1"
"80","hallucigenia sparsa","51","vauxia gracilenta","1"
"80","hallucigenia sparsa","52","vauxia venata","1"
"80","hallucigenia sparsa","53","wapkia grandis","1"
"80","hallucigenia sparsa","54","diagoniella hindei","1"
"80","hallucigenia sparsa","55","protospongia hicksi","1"
"80","hallucigenia sparsa","56","stephanospongia magnipora","1"
"80","hallucigenia sparsa","57","canistrumella alternata","1"
"80","hallucigenia sparsa","58","eiffelia globosa","1"
"83","aluta? sp.","25","zooplankton","2"
"85","burgessia bella","4","detritus","1"
"86","canadaspis ovalis","4","detritus","1"
"86","canadaspis ovalis","65","haplophrentis carinatus","1"
"86","canadaspis ovalis","66","scenella amii","1"
"86","canadaspis ovalis","67","burgessochaeta setigera","1"
"86","canadaspis ovalis","68","canadia spinosa","1"
"86","canadaspis ovalis","70","peronochaeta dubia","1"
"86","canadaspis ovalis","71","stephanoscolex argutus","1"
"86","canadaspis ovalis","83","aluta? sp.","1"
"86","canadaspis ovalis","142","ancalagon minor","1"
"86","canadaspis ovalis","143","fieldia lanceolata","1"
"86","canadaspis ovalis","146","selkirkia columbia","1"
"86","canadaspis ovalis","153","""ottoia"" tenuis","1"
"86","canadaspis ovalis","162","oesia disjuncta","1"
"86","canadaspis ovalis","166","portalia mira","1"
"87","canadaspis perfecta","4","detritus","1"
"87","canadaspis perfecta","65","haplophrentis carinatus","1"
"87","canadaspis perfecta","66","scenella amii","1"
"87","canadaspis perfecta","67","burgessochaeta setigera","1"
"87","canadaspis perfecta","68","canadia spinosa","1"
"87","canadaspis perfecta","70","peronochaeta dubia","1"
"87","canadaspis perfecta","71","stephanoscolex argutus","1"
"87","canadaspis perfecta","83","aluta? sp.","1"
"87","canadaspis perfecta","142","ancalagon minor","1"
"87","canadaspis perfecta","143","fieldia lanceolata","1"
"87","canadaspis perfecta","146","selkirkia columbia","1"
"87","canadaspis perfecta","153","""ottoia"" tenuis","1"
"87","canadaspis perfecta","162","oesia disjuncta","1"
"87","canadaspis perfecta","166","portalia mira","1"
"89","emeraldella bocki","65","haplophrentis carinatus","1"
"89","emeraldella bocki","66","scenella amii","1"
"89","emeraldella bocki","67","burgessochaeta setigera","1"
"89","emeraldella bocki","68","canadia spinosa","1"
"89","emeraldella bocki","70","peronochaeta dubia","1"
"89","emeraldella bocki","71","stephanoscolex argutus","1"
"89","emeraldella bocki","83","aluta? sp.","1"
"89","emeraldella bocki","142","ancalagon minor","1"
"89","emeraldella bocki","143","fieldia lanceolata","1"
"89","emeraldella bocki","146","selkirkia columbia","1"
"89","emeraldella bocki","153","""ottoia"" tenuis","1"
"89","emeraldella bocki","162","oesia disjuncta","1"
"89","emeraldella bocki","166","portalia mira","1"
"90","habelia brevicauda","4","detritus","2"
"91","habelia optata","4","detritus","2"
"92","helmetia expansa","25","zooplankton","2"
"96","leanchoilia superlata","65","haplophrentis carinatus","2"
"96","leanchoilia superlata","66","scenella amii","2"
"96","leanchoilia superlata","67","burgessochaeta setigera","2"
"96","leanchoilia superlata","68","canadia spinosa","2"
"96","leanchoilia superlata","70","peronochaeta dubia","2"
"96","leanchoilia superlata","71","stephanoscolex argutus","2"
"96","leanchoilia superlata","83","aluta? sp.","2"
"96","leanchoilia superlata","142","ancalagon minor","2"
"96","leanchoilia superlata","143","fieldia lanceolata","2"
"96","leanchoilia superlata","146","selkirkia columbia","2"
"96","leanchoilia superlata","153","""ottoia"" tenuis","2"
"96","leanchoilia superlata","162","oesia disjuncta","2"
"96","leanchoilia superlata","166","portalia mira","2"
"97","marella splendens","1","phytoplankton","1"
"97","marella splendens","4","detritus","1"
"97","marella splendens","25","zooplankton","1"
"98","molaria spinifera","4","detritus","2"
"100","naraoia compacta","65","haplophrentis carinatus","2"
"100","naraoia compacta","67","burgessochaeta setigera","2"
"100","naraoia compacta","68","canadia spinosa","2"
"100","naraoia compacta","70","peronochaeta dubia","2"
"100","naraoia compacta","71","stephanoscolex argutus","2"
"100","naraoia compacta","79","aysheaia pedunculata","2"
"100","naraoia compacta","80","hallucigenia sparsa","2"
"100","naraoia compacta","83","aluta? sp.","2"
"100","naraoia compacta","98","molaria spinifera","2"
"100","naraoia compacta","143","fieldia lanceolata","2"
"100","naraoia compacta","144","louisella pedunculata","2"
"100","naraoia compacta","145","ottoia prolifica","2"
"100","naraoia compacta","146","selkirkia columbia","2"
"100","naraoia compacta","162","oesia disjuncta","2"
"100","naraoia compacta","166","portalia mira","2"
"101","odaraia alata","65","haplophrentis carinatus","1"
"101","odaraia alata","66","scenella amii","1"
"101","odaraia alata","67","burgessochaeta setigera","1"
"101","odaraia alata","68","canadia spinosa","1"
