"con_number","consumer_sp","res_number","resource_sp","certainty"
"100","anomalocaris saron","82","sidneyia sinica","2"
"100","anomalocaris saron","91","waptia ovata","1"
"100","anomalocaris saron","95","yunaannocaris megista","1"
"100","anomalocaris saron","102","cucumericrus decoratus","2"
"100","anomalocaris saron","103","haikoucaris ercaiensis","1"
"100","anomalocaris saron","104","parapeytoia yunnanensis","2"
"102","cucumericrus decoratus","45","brachiocaris? yunnanensis","1"
"102","cucumericrus decoratus","46","canadaspis laevigata*","1"
"102","cucumericrus decoratus","47","chengjiangocaris longiformis","1"
"102","cucumericrus decoratus","56","fortiforceps foliosa","1"
"102","cucumericrus decoratus","57","fuxianhuia protensa","1"
"102","cucumericrus decoratus","61","jinagfengia multisegmentalis","1"
"102","cucumericrus decoratus","63","kuamaia lata","1"
"102","cucumericrus decoratus","67","leanchoilia illecebrosa*","1"
"102","cucumericrus decoratus","69","naraoia longicaudata","1"
"102","cucumericrus decoratus","70","naraoia sponosa","1"
"102","cucumericrus decoratus","72","odaraia? eurypetala*","1"
"102","cucumericrus decoratus","75","pisinnocaris subconigera*","1"
"102","cucumericrus decoratus","79","retifacis abnormalis*","1"
"102","cucumericrus decoratus","81","saperion glumaceum","1"
"102","cucumericrus decoratus","82","sidneyia sinica","1"
"102","cucumericrus decoratus","91","waptia ovata","1"
"102","cucumericrus decoratus","95","yunaannocaris megista","1"
"102","cucumericrus decoratus","102","cucumericrus decoratus","2"
"102","cucumericrus decoratus","103","haikoucaris ercaiensis","1"
"102","cucumericrus decoratus","104","parapeytoia yunnanensis","1"
"103","haikoucaris ercaiensis","45","brachiocaris? yunnanensis","1"
"103","haikoucaris ercaiensis","46","canadaspis laevigata*","1"
"103","haikoucaris ercaiensis","56","fortiforceps foliosa","1"
"103","haikoucaris ercaiensis","61","jinagfengia multisegmentalis","1"
"103","haikoucaris ercaiensis","65","kunmingella douvillei","1"
"103","haikoucaris ercaiensis","69","naraoia longicaudata","1"
"103","haikoucaris ercaiensis","70","naraoia sponosa","1"
"103","haikoucaris ercaiensis","72","odaraia? eurypetala*","1"
"103","haikoucaris ercaiensis","75","pisinnocaris subconigera*","1"
"103","haikoucaris ercaiensis","83","sinoburius lunaris","1"
"103","haikoucaris ercaiensis","85","squamacula clypeata","1"
"103","haikoucaris ercaiensis","91","waptia ovata","1"
"103","haikoucaris ercaiensis","95","yunaannocaris megista","1"
"103","haikoucaris ercaiensis","103","haikoucaris ercaiensis","1"
"104","parapeytoia yunnanensis","45","brachiocaris? yunnanensis","1"
"104","parapeytoia yunnanensis","46","canadaspis laevigata*","1"
"104","parapeytoia yunnanensis","47","chengjiangocaris longiformis","2"
"104","parapeytoia yunnanensis","56","fortiforceps foliosa","1"
"104","parapeytoia yunnanensis","57","fuxianhuia protensa","2"
"104","parapeytoia yunnanensis","61","jinagfengia multisegmentalis","1"
"104","parapeytoia yunnanensis","63","kuamaia lata","2"
"104","parapeytoia yunnanensis","67","leanchoilia illecebrosa*","2"
"104","parapeytoia yunnanensis","69","naraoia longicaudata","1"
"104","parapeytoia yunnanensis","70","naraoia sponosa","1"
"104","parapeytoia yunnanensis","72","odaraia? eurypetala*","1"
"104","parapeytoia yunnanensis","75","pisinnocaris subconigera*","1"
"104","parapeytoia yunnanensis","79","retifacis abnormalis*","2"
"104","parapeytoia yunnanensis","81","saperion glumaceum","2"
"104","parapeytoia yunnanensis","82","sidneyia sinica","2"
"104","parapeytoia yunnanensis","91","waptia ovata","1"
"104","parapeytoia yunnanensis","95","yunaannocaris megista","1"
"104","parapeytoia yunnanensis","102","cucumericrus decoratus","2"
"104","parapeytoia yunnanensis","103","haikoucaris ercaiensis","1"
"104","parapeytoia yunnanensis","104","parapeytoia yunnanensis","2"
"105","acosmia maotiania","4","detritus","1"
"108","palaeopriapulites parvus","4","detritus","1"
"109","paraselkirkia jinningensis*","26","ambrolinevitus maximus","1"
"109","paraselkirkia jinningensis*","27","ambrolinevitus ventricosus","1"
"109","paraselkirkia jinningensis*","28","burithes yunanensis*","1"
"109","paraselkirkia jinningensis*","29","linevitus optimus","1"
"109","paraselkirkia jinningensis*","105","acosmia maotiania","1"
"109","paraselkirkia jinningensis*","108","palaeopriapulites parvus","1"
"109","paraselkirkia jinningensis*","109","paraselkirkia jinningensis*","1"
"109","paraselkirkia jinningensis*","110","protopriapulites haikouensis*","1"
"109","paraselkirkia jinningensis*","111","cricocosmia jinningensis","1"
"109","paraselkirkia jinningensis*","112","maotianshania cylindrica","1"
"110","protopriapulites haikouensis*","4","detritus","1"
"111","cricocosmia jinningensis","4","detritus","2"
"112","maotianshania cylindrica","4","detritus","2"
"114","eldonia eumorpha*","9","zooplankton","2"
"115","rotadiscus grandis","9","zooplankton","2"
"116","eognathacanta ercainella","9","zooplankton","2"
"124","vetulicola cuneata*","4","detritus","2"
"126","dianchicystis jianshanensis","9","zooplankton","1"
"127","vetulocystis catenata","9","zooplankton","1"
"129","banffia confusa*","4","detritus","2"
"131","coryledion tylodes*","3","som","1"
"131","coryledion tylodes*","9","zooplankton","1"
"132","dinomischus venustus","3","som","1"
"132","dinomischus venustus","9","zooplankton","1"
"133","facivermis yunnanicus","3","som","1"
"133","facivermis yunnanicus","9","zooplankton","1"
"134","jiucunia petalina","2","bacterioplankton","1"
"136","parvulonoda dubia","2","bacterioplankton","1"
"138","yunnanozoon lividum*","4","detritus","1"
