"con_number","consumer_sp","res_number","resource_sp","certainty"
"47","chengjiangocaris longiformis","91","waptia ovata","1"
"47","chengjiangocaris longiformis","95","yunaannocaris megista","1"
"47","chengjiangocaris longiformis","103","haikoucaris ercaiensis","1"
"49","clypecaris pteroidea*","4","detritus","1"
"56","fortiforceps foliosa","45","brachiocaris? yunnanensis","1"
"56","fortiforceps foliosa","46","canadaspis laevigata*","1"
"56","fortiforceps foliosa","56","fortiforceps foliosa","1"
"56","fortiforceps foliosa","61","jinagfengia multisegmentalis","1"
"56","fortiforceps foliosa","65","kunmingella douvillei","1"
"56","fortiforceps foliosa","69","naraoia longicaudata","1"
"56","fortiforceps foliosa","70","naraoia sponosa","1"
"56","fortiforceps foliosa","72","odaraia? eurypetala*","1"
"56","fortiforceps foliosa","75","pisinnocaris subconigera*","1"
"56","fortiforceps foliosa","83","sinoburius lunaris","1"
"56","fortiforceps foliosa","85","squamacula clypeata","1"
"56","fortiforceps foliosa","91","waptia ovata","1"
"56","fortiforceps foliosa","95","yunaannocaris megista","1"
"56","fortiforceps foliosa","103","haikoucaris ercaiensis","1"
"57","fuxianhuia protensa","45","brachiocaris? yunnanensis","1"
"57","fuxianhuia protensa","46","canadaspis laevigata*","1"
"57","fuxianhuia protensa","47","chengjiangocaris longiformis","2"
"57","fuxianhuia protensa","56","fortiforceps foliosa","1"
"57","fuxianhuia protensa","57","fuxianhuia protensa","2"
"57","fuxianhuia protensa","61","jinagfengia multisegmentalis","1"
"57","fuxianhuia protensa","63","kuamaia lata","2"
"57","fuxianhuia protensa","67","leanchoilia illecebrosa*","2"
"57","fuxianhuia protensa","69","naraoia longicaudata","1"
"57","fuxianhuia protensa","70","naraoia sponosa","1"
"57","fuxianhuia protensa","72","odaraia? eurypetala*","1"
"57","fuxianhuia protensa","75","pisinnocaris subconigera*","1"
"57","fuxianhuia protensa","79","retifacis abnormalis*","2"
"57","fuxianhuia protensa","81","saperion glumaceum","2"
"57","fuxianhuia protensa","82","sidneyia sinica","2"
"57","fuxianhuia protensa","91","waptia ovata","1"
"57","fuxianhuia protensa","95","yunaannocaris megista","1"
"57","fuxianhuia protensa","96","eoredlichia intermedia","3"
"57","fuxianhuia protensa","97","kuanyangia pusulosa","3"
"57","fuxianhuia protensa","98","yunnanocephalus yunnanensis","3"
"57","fuxianhuia protensa","103","haikoucaris ercaiensis","1"
"61","jinagfengia multisegmentalis","45","brachiocaris? yunnanensis","1"
"61","jinagfengia multisegmentalis","46","canadaspis laevigata*","1"
"61","jinagfengia multisegmentalis","47","chengjiangocaris longiformis","2"
"61","jinagfengia multisegmentalis","56","fortiforceps foliosa","1"
"61","jinagfengia multisegmentalis","57","fuxianhuia protensa","2"
